id_cliente,nombre,tipo_cliente,fecha_alta
1,Tina Castillo,Particular,2024-02-23
2,Gregory Wyatt,Particular,2024-08-21
3,Robin Mays,Particular,2024-10-25
4,Kristy Frazier,Particular,2024-08-26
5,Calvin Smith,Freelance,2021-08-10
6,Luis Pearson,Particular,2021-11-23
7,Katherine Kent,Particular,2024-08-26
8,Monica Reeves,PyME,2024-06-09
9,Lee Little,Particular,2021-05-11
10,Michael Hopkins,Particular,2022-02-21
11,Chloe Matthews,Particular,2025-03-14
12,Jacqueline Martin,Particular,2022-04-05
13,Joseph Davidson,Freelance,2021-06-03
14,Jessica Davis,Freelance,2025-01-11
15,Sally Manning,Particular,2022-01-25
16,Rose Smith,Particular,2023-04-13
17,Rhonda Murphy,Particular,2022-01-22
18,Kevin Hall,PyME,2023-12-30
19,Bonnie Smith,Particular,2023-09-17
20,Dawn Wood,PyME,2024-06-19
21,Daniel Barrera,Freelance,2024-12-05
22,Ralph Haynes,Particular,2022-11-07
23,Theodore Hudson,Freelance,2023-07-31
24,Zachary Orr,Freelance,2022-08-27
25,Chad Stewart,Particular,2023-04-07
26,Cory Miller,Particular,2025-02-07
27,Jeffrey Goodwin,Freelance,2023-09-18
28,Cody Lambert,Particular,2023-11-19
29,Joseph Lopez,Particular,2024-01-13
30,Kelly Hines,Particular,2024-06-16
31,Isaac Davis,PyME,2022-02-02
32,Trevor Norman,Freelance,2023-12-02
33,Tara Hamilton,Particular,2022-09-10
34,Jeffrey Brown,Particular,2023-03-28
35,Chad Vargas,Particular,2024-03-28
36,Michael Weber,PyME,2021-07-06
37,Rebecca Turner,Freelance,2022-01-07
38,Larry Reynolds,Particular,2022-01-05
39,Gina Scott,Freelance,2022-07-04
40,Matthew Schneider,Freelance,2022-07-05
41,Lori Gallagher,Particular,2023-07-12
42,Brandon Logan,Freelance,2023-11-09
43,Christine Lloyd,Particular,2022-06-03
44,Matthew Lang,Freelance,2023-09-20
45,Todd Pacheco,Particular,2023-06-18
46,Thomas Little,Particular,2023-02-19
47,Michael Guerra,Particular,2024-04-03
48,Andrew Hernandez,Particular,2024-10-16
49,Anthony Lloyd,PyME,2023-11-30
50,Michael Martin,Freelance,2022-09-05
51,Sandra Smith,Freelance,2024-04-07
52,Tracy Randall,Particular,2023-07-22
53,Stephanie Miller,Particular,2022-05-11
54,Grace Landry,Freelance,2025-01-01
55,Heidi Henderson,PyME,2023-05-11
56,Mr. Joseph Adams,Particular,2022-12-09
57,Tonya Dillon,Particular,2021-05-09
58,Robert Rivera,Particular,2024-03-06
59,Valerie Taylor,Freelance,2024-05-25
60,Erica Lin,Freelance,2023-11-03
61,Matthew Chapman,Particular,2023-11-04
62,Kimberly Daniel,Particular,2023-08-19
63,Ryan Underwood,Particular,2023-08-26
64,Lori Martinez,Particular,2022-12-09
65,Samantha Hernandez,Freelance,2021-10-06
66,Angela Phillips,Particular,2024-04-05
67,Johnny Carter,Particular,2023-06-01
68,Evan Lee,Particular,2021-10-13
69,Kristin Franco,Freelance,2022-01-09
70,Darin Sullivan,Particular,2025-03-13
71,Shannon Hale,Particular,2021-06-28
72,Amanda Hampton,PyME,2021-04-05
73,Hailey Hicks,Freelance,2022-02-25
74,Michael Davis,Particular,2023-06-03
75,George Klein,Particular,2022-03-28
76,Beverly Brewer,Particular,2021-11-07
77,Robert York,Particular,2022-11-30
